task_id,dataset,repetition,reference_correct,candidate_correct,same_content,reference_finish,candidate_finish,reference_tokens,candidate_tokens,latency_ratio_reference_over_candidate,tps_ratio_candidate_over_reference,reference_record,candidate_record,reference_sha256,candidate_sha256
HumanEval/0,humaneval_plus,0,True,True,False,stop,stop,191,177,1.6069849359241124,1.4891954641809837,results/baseline/sampling/repeat-0/HumanEval_0.json,results/dflash15/sampling/repeat-0/HumanEval_0.json,4ddcb23aecb68e21633bc561ed52a5677f9809cbabd97ff24b5a221c009c831c,c2ee22f810c0650b203333b01b131ce050e55cf330ca231c45e85a465af20ae9
HumanEval/1,humaneval_plus,0,True,True,False,stop,stop,230,248,5.379582683987215,5.800593502734041,results/baseline/sampling/repeat-0/HumanEval_1.json,results/dflash15/sampling/repeat-0/HumanEval_1.json,0e71228e74f91f8adf56260ecd853a2f43f6e4ee98cbc7e439a49174f5a4c16f,eb914e7e4fb977d53cffc2fe4fc8b5f2f071a74e8afb05dd35a8b1e35a2afef2
HumanEval/2,humaneval_plus,0,True,True,False,stop,stop,165,97,12.723930470277077,7.480128821920464,results/baseline/sampling/repeat-0/HumanEval_2.json,results/dflash15/sampling/repeat-0/HumanEval_2.json,e65a8c39dba8fa2752d3122169472902faf41cf610bf57e76726fe9c8be5bb5a,17c7ca257ac6ba2d9897abb57cea73d9322a3a363b160391ae3bf3ac7c76b1b7
HumanEval/3,humaneval_plus,0,True,True,True,stop,stop,157,157,7.271934059622019,7.271934059622019,results/baseline/sampling/repeat-0/HumanEval_3.json,results/dflash15/sampling/repeat-0/HumanEval_3.json,a1ae37661e62d41dc01dd62584447c90d8c0662b2fd54a2494a8cf2e031aabbe,fab65c74aa8f41b20ce9d1a3e8e70bae201310df8eb364e4bebf4d72f7b99ebb
HumanEval/4,humaneval_plus,0,True,True,True,stop,stop,172,172,7.502367155256031,7.502367155256031,results/baseline/sampling/repeat-0/HumanEval_4.json,results/dflash15/sampling/repeat-0/HumanEval_4.json,976a2712b4b2b615bc417fc68a08843af85d075e1bc407d147344790403e4ccb,e297c89d33d2c99264569ab38a4922456c2cfe833d9548fdee8bbb5a464cdb2a
HumanEval/5,humaneval_plus,0,True,True,True,stop,stop,154,154,7.20286552400012,7.20286552400012,results/baseline/sampling/repeat-0/HumanEval_5.json,results/dflash15/sampling/repeat-0/HumanEval_5.json,318bf44b72a2f87ef26b5df745a552e517b7484d0dd0379f35a109a4e8cd4392,ddc9fd462465a4aef6a15ecd3590f156efab4701fbb8eeede81a27ebe853517b
HumanEval/6,humaneval_plus,0,True,True,False,stop,stop,209,238,5.865195353350537,6.679026287547501,results/baseline/sampling/repeat-0/HumanEval_6.json,results/dflash15/sampling/repeat-0/HumanEval_6.json,75587f8fe8ea3b5990a29725c32c94f469c512c3613147c3f4231052c76f64d2,c3885855aa2c3b2bddb9a9000154ee4ae2f22329f1b952058f4dd576ef6a1129
HumanEval/7,humaneval_plus,0,True,True,True,stop,stop,112,112,7.121768761593315,7.121768761593314,results/baseline/sampling/repeat-0/HumanEval_7.json,results/dflash15/sampling/repeat-0/HumanEval_7.json,360987ba87246d88d680f5986fde229e21e1e99c39940901ad6042ff98406e97,23e63625c20a6cd45108b683969b6869a91bc182237a5ce5d579bdb665d52bb7
MATH-500/0,math_500,0,True,True,False,stop,stop,524,449,5.533599067793417,4.741576300456573,results/baseline/sampling/repeat-0/MATH-500_0.json,results/dflash15/sampling/repeat-0/MATH-500_0.json,a1b6709bd78ad19adab1d684a1f20bc87136c18d56b4b10cfab60a6159ae0ed0,a5f25c22c412eb4ba01b6b7903d500b33ddb3c310f3f082c2e21aaebb6338a36
MATH-500/1,math_500,0,True,True,False,stop,stop,1068,939,6.31952779758114,5.5562140467497105,results/baseline/sampling/repeat-0/MATH-500_1.json,results/dflash15/sampling/repeat-0/MATH-500_1.json,076dfb400dd869491a745b12683b8e370db02660c6110e164f5720b65be1e969,c3a4af6b4be99c48db1bd822051eaa565133d9c906f412d409ef8e78537c0ad8
MATH-500/2,math_500,0,True,True,False,stop,stop,549,543,6.47352216027781,6.402773284209199,results/baseline/sampling/repeat-0/MATH-500_2.json,results/dflash15/sampling/repeat-0/MATH-500_2.json,dec2fdd6e18530a2b24709cd5741432fea8958e0aa3b510d9c31e6ea18de7f23,b9599402c383bc6bfaf051b7e1eea56bb12ee2dfa135b704f3269d1b4f2b75d3
