task_id,dataset,repetition,reference_correct,candidate_correct,same_content,reference_finish,candidate_finish,reference_tokens,candidate_tokens,latency_ratio_reference_over_candidate,tps_ratio_candidate_over_reference,reference_record,candidate_record,reference_sha256,candidate_sha256
HumanEval/0,humaneval_plus,0,True,True,True,stop,stop,177,177,0.2803372240533411,0.2803372240533411,results/dflash15/primary/repeat-0/HumanEval_0.json,results/dflash5/matched-window/repeat-0/HumanEval_0.json,e2f00c4d1c6e402a42a584038db4f72356ababfdf80ae49bd8305e4d05000855,319c060f5b1d367a3949264ce6cf376405304f96cbe8c2f7f3e1d08313cbe34d
HumanEval/1,humaneval_plus,0,True,True,True,stop,stop,230,230,0.5983208267059,0.5983208267059,results/dflash15/primary/repeat-0/HumanEval_1.json,results/dflash5/matched-window/repeat-0/HumanEval_1.json,38c06392f87f2b2e612ac7f56b3bd507fc44fa780a22a7d3e94c558833f9fd6c,a8eee4a3a4a3fed64ee4792ce351ba74a001a9d33f74c7110ffe59c2950f3bae
HumanEval/2,humaneval_plus,0,True,True,True,stop,stop,97,97,0.49495980849003146,0.49495980849003146,results/dflash15/primary/repeat-0/HumanEval_2.json,results/dflash5/matched-window/repeat-0/HumanEval_2.json,3f09dcaea31f584ed5a8604c119dda1b61217f0811ed28fec80cb0c855f6758e,38828dff4df75ae5b21964350464e2f3b5c86b766ce2625d2db7dda2937098a0
HumanEval/3,humaneval_plus,0,True,True,True,stop,stop,157,157,0.5635678595570913,0.5635678595570913,results/dflash15/primary/repeat-0/HumanEval_3.json,results/dflash5/matched-window/repeat-0/HumanEval_3.json,3340cbade0ed9d35b025cce5b904c8615324ffe16d15e673014c8b3e3a7d48b9,1804041379c04aa12a4837d1074839f86d97ba41053d5215ad25b2dc4c59f727
HumanEval/4,humaneval_plus,0,True,True,True,stop,stop,172,172,0.5506824481046102,0.5506824481046102,results/dflash15/primary/repeat-0/HumanEval_4.json,results/dflash5/matched-window/repeat-0/HumanEval_4.json,fb75b297698a6810c1ea95bbd4b6606a591997c150c15434ce8b216d9d509c59,439334ed20ca743e369d3e99261065616296ba113ab678d922ce232954ff3070
HumanEval/5,humaneval_plus,0,True,True,True,stop,stop,154,154,0.550320782013855,0.550320782013855,results/dflash15/primary/repeat-0/HumanEval_5.json,results/dflash5/matched-window/repeat-0/HumanEval_5.json,8e61a1e80364c2540dee668f25432f06ee76ddec926b476c74a3a2171b04be03,14dd017b2e7a3243f2d0e8c617f1bee2c4b24f22c2e7f8a951aaeceec9316e59
HumanEval/6,humaneval_plus,0,True,True,True,stop,stop,229,229,0.5682907106341949,0.568290710634195,results/dflash15/primary/repeat-0/HumanEval_6.json,results/dflash5/matched-window/repeat-0/HumanEval_6.json,cc06d4cc53ea6ac1178e4a060998dbd7f2e5a81d7fa3084ef3499eb01496316a,9a90028425344533d1f6163e512ad3b417dc899e70f141aa5371540acbea73b4
HumanEval/7,humaneval_plus,0,True,True,True,stop,stop,112,112,0.5786907962494107,0.5786907962494106,results/dflash15/primary/repeat-0/HumanEval_7.json,results/dflash5/matched-window/repeat-0/HumanEval_7.json,7a14ef52da610e749b1065cfff813d7f4d9c38c6baaa53e0b03e17f663ec15e8,d47a3103d56cad9600fffb09aebbb9f6f83d39a3b9de7e01dceda01e934f4936
HumanEval/8,humaneval_plus,0,True,True,True,stop,stop,163,163,0.5254284145994539,0.5254284145994539,results/dflash15/primary/repeat-0/HumanEval_8.json,results/dflash5/matched-window/repeat-0/HumanEval_8.json,f24a5b9ee0973645e06d2a334948e3b52e5c5dcff3eb7b78ecae42c9ba9c2e02,ae386cd49e07eae2840383189b432d24264bf459d9e55a93c340bc8404396694
HumanEval/9,humaneval_plus,0,True,True,True,stop,stop,162,162,0.5153623006412733,0.5153623006412733,results/dflash15/primary/repeat-0/HumanEval_9.json,results/dflash5/matched-window/repeat-0/HumanEval_9.json,68aa97e3a3a16d094368a2f194d0b4018ac67a38011aad7e80e531df3e5d6755,565f0f22b9b8f63e13653021ec27711fe3774a11ae9d974f0989ebdfa68497de
