task_id,dataset,repetition,reference_correct,candidate_correct,same_content,reference_finish,candidate_finish,reference_tokens,candidate_tokens,latency_ratio_reference_over_candidate,tps_ratio_candidate_over_reference,reference_record,candidate_record,reference_sha256,candidate_sha256
HumanEval/0,humaneval_plus,0,True,True,True,stop,stop,177,177,1.7695509058676353,1.7695509058676355,results/baseline/primary/repeat-0/HumanEval_0.json,results/dflash5/matched-window/repeat-0/HumanEval_0.json,5421341340a55d1e6772a93bb49fe62ed9c3be0bd6410d13fa4d119e8da07271,319c060f5b1d367a3949264ce6cf376405304f96cbe8c2f7f3e1d08313cbe34d
HumanEval/1,humaneval_plus,0,True,True,True,stop,stop,230,230,4.12148715024521,4.12148715024521,results/baseline/primary/repeat-0/HumanEval_1.json,results/dflash5/matched-window/repeat-0/HumanEval_1.json,c3c75501db9ff8a20faffa36e3e2d3631dac97c60a75217321e68d4f3f73e1ae,a8eee4a3a4a3fed64ee4792ce351ba74a001a9d33f74c7110ffe59c2950f3bae
HumanEval/2,humaneval_plus,0,True,True,True,stop,stop,97,97,3.632480010828216,3.6324800108282154,results/baseline/primary/repeat-0/HumanEval_2.json,results/dflash5/matched-window/repeat-0/HumanEval_2.json,502fbcee56b843fdf5ff5555306f2701c81d6dc82f8ef0bf5b31dfccbb907bbc,38828dff4df75ae5b21964350464e2f3b5c86b766ce2625d2db7dda2937098a0
HumanEval/3,humaneval_plus,0,True,True,True,stop,stop,157,157,4.094153876609596,4.094153876609596,results/baseline/primary/repeat-0/HumanEval_3.json,results/dflash5/matched-window/repeat-0/HumanEval_3.json,588340e8d0e151e911a9f92c75ad1b5dd6272523e82c01424ac5042c457b9098,1804041379c04aa12a4837d1074839f86d97ba41053d5215ad25b2dc4c59f727
HumanEval/4,humaneval_plus,0,True,True,True,stop,stop,172,172,4.068687440450598,4.068687440450598,results/baseline/primary/repeat-0/HumanEval_4.json,results/dflash5/matched-window/repeat-0/HumanEval_4.json,6121bb505ce8eb114faa08a944de92661464a15c7c4d48f8eee22392d3ff4c4a,439334ed20ca743e369d3e99261065616296ba113ab678d922ce232954ff3070
HumanEval/5,humaneval_plus,0,True,True,True,stop,stop,154,154,3.7977991371132265,3.7977991371132265,results/baseline/primary/repeat-0/HumanEval_5.json,results/dflash5/matched-window/repeat-0/HumanEval_5.json,1d024b4bcce9f79383405c4ada110d1ece12aeaecaf98afd57239afc71528d09,14dd017b2e7a3243f2d0e8c617f1bee2c4b24f22c2e7f8a951aaeceec9316e59
HumanEval/6,humaneval_plus,0,True,True,True,stop,stop,229,229,4.131181941076525,4.131181941076525,results/baseline/primary/repeat-0/HumanEval_6.json,results/dflash5/matched-window/repeat-0/HumanEval_6.json,fed865312a36d450097fd80125f4066d6a3a08d99e1d1306961be1a2a9c303da,9a90028425344533d1f6163e512ad3b417dc899e70f141aa5371540acbea73b4
HumanEval/7,humaneval_plus,0,True,True,True,stop,stop,112,112,4.043198358773444,4.043198358773444,results/baseline/primary/repeat-0/HumanEval_7.json,results/dflash5/matched-window/repeat-0/HumanEval_7.json,9032591c495e5bb8a47afc198e53209e8016ead3cf68de0c126d7fa983f1a062,d47a3103d56cad9600fffb09aebbb9f6f83d39a3b9de7e01dceda01e934f4936
HumanEval/8,humaneval_plus,0,True,True,True,stop,stop,163,163,3.973897895223634,3.973897895223634,results/baseline/primary/repeat-0/HumanEval_8.json,results/dflash5/matched-window/repeat-0/HumanEval_8.json,80eb8ec6a6342a5ee6e14528739a76380af47e410c0bf67d9c1e4c82bef51293,ae386cd49e07eae2840383189b432d24264bf459d9e55a93c340bc8404396694
HumanEval/9,humaneval_plus,0,True,True,True,stop,stop,162,162,4.103886599214549,4.103886599214549,results/baseline/primary/repeat-0/HumanEval_9.json,results/dflash5/matched-window/repeat-0/HumanEval_9.json,f0e83050e8df06587e87d861ab88c1c3d03b6883e34eba586b20cd532dd8f6ae,565f0f22b9b8f63e13653021ec27711fe3774a11ae9d974f0989ebdfa68497de
HumanEval/10,humaneval_plus,0,True,True,False,stop,stop,315,327,3.4560495502038333,3.587708580687789,results/baseline/primary/repeat-0/HumanEval_10.json,results/dflash5/matched-window/repeat-0/HumanEval_10.json,e6f3547e85023b9c1e71ba49baee53ae08018d3a2e3e126ab419324fff7fea46,cba3f9f78ca41b208887bc906fef284069a69eef6bb93f175096bdce2047a986
HumanEval/11,humaneval_plus,0,True,True,True,stop,stop,140,140,3.9463423239275786,3.946342323927578,results/baseline/primary/repeat-0/HumanEval_11.json,results/dflash5/matched-window/repeat-0/HumanEval_11.json,6add5db31ca938a2dbb9ef9c43542ecee03ec12db92a0ca26b737cb4b159b40f,92131b754b5bca046c2d61b4c30b54bac9aef510be57876e0463b7a404c59ce8
HumanEval/12,humaneval_plus,0,True,True,True,stop,stop,161,161,4.083341402661573,4.083341402661573,results/baseline/primary/repeat-0/HumanEval_12.json,results/dflash5/matched-window/repeat-0/HumanEval_12.json,c15a75bb4df39cb37a0e496d81f98ad846f83235a5a2e94f9c5bb0497a85671e,87464342b75e5326125f9f5dae7c3c032f8adeda4101fd9cd888125eddc0e571
HumanEval/13,humaneval_plus,0,True,True,True,stop,stop,109,109,3.7910098885879626,3.7910098885879626,results/baseline/primary/repeat-0/HumanEval_13.json,results/dflash5/matched-window/repeat-0/HumanEval_13.json,bc1b4fdd7b3d1a043b733bb7658282b09cf236fcfd1275a442a7846ee4690664,df4d04f5c67273398a343c17fac7fee10a5499eef9435f6b1cb0f4fb828828eb
HumanEval/14,humaneval_plus,0,True,True,False,stop,stop,95,79,4.554208911449138,3.787184252678757,results/baseline/primary/repeat-0/HumanEval_14.json,results/dflash5/matched-window/repeat-0/HumanEval_14.json,46aee424d3a518908eed18202d52601bfe3eb3bd36f6a864484042930e27f977,dcdccfc9f9b22b47d5c97d729035bc9176d5f489f005e1e6451dfa38fc47cc69
HumanEval/15,humaneval_plus,0,True,True,True,stop,stop,92,92,3.8896477198153336,3.8896477198153336,results/baseline/primary/repeat-0/HumanEval_15.json,results/dflash5/matched-window/repeat-0/HumanEval_15.json,4a218fc8149ec8ae6144b058dd2813d0f861e7be7383d3e096e9f9bacab8bc87,8f46ca8bf38641e4414cf0083a73927e6e67063bc7d4c1004044a4563ae192f8
HumanEval/16,humaneval_plus,0,True,True,True,stop,stop,122,122,3.8887534897184497,3.8887534897184497,results/baseline/primary/repeat-0/HumanEval_16.json,results/dflash5/matched-window/repeat-0/HumanEval_16.json,7e04c54ff1b88bf8e808430b2cfbb3c8fe8ae48076129cb4183721b8883828b3,dfbea652bfce4830a28a384475be19458b3a5661d3298430faa25e2855cc37ae
HumanEval/17,humaneval_plus,0,True,True,True,stop,stop,261,261,4.228258310079503,4.228258310079502,results/baseline/primary/repeat-0/HumanEval_17.json,results/dflash5/matched-window/repeat-0/HumanEval_17.json,66f009c5200632da99a54ea902ebf0933cd8de4afe072c947fc5e1ae39dde6bb,8c40809c3e49662b0074f7128c26b2cae590d9b5e5d6b6aef29553243a11b0f6
HumanEval/18,humaneval_plus,0,True,True,True,stop,stop,161,161,4.21229124198594,4.21229124198594,results/baseline/primary/repeat-0/HumanEval_18.json,results/dflash5/matched-window/repeat-0/HumanEval_18.json,bb7eae9e60225596b5da68f806f5590544b95d474eb83f2f917714c74dacb77e,680ef5782a1cfdbe32adc8a52ceaa152d53c600ed5f8ebe4f722b0c06476a3db
HumanEval/19,humaneval_plus,0,True,True,True,stop,stop,254,254,3.946122308228135,3.946122308228135,results/baseline/primary/repeat-0/HumanEval_19.json,results/dflash5/matched-window/repeat-0/HumanEval_19.json,748868ff698c53065e23b0be8cab19375da7b32de9bb73e84a4321140619d84b,90179a0bd2b1cb1a965961734d96a67ce79fa82652efa44d6942cc95470884cc
HumanEval/20,humaneval_plus,0,True,True,True,stop,stop,309,309,3.9420766271267356,3.9420766271267356,results/baseline/primary/repeat-0/HumanEval_20.json,results/dflash5/matched-window/repeat-0/HumanEval_20.json,d81f1284d5fc7570c6a0453f2208f104c0301c466d7faa04015261f903aa69f7,ce54bfc0e0173ec80774d05256c7b68b51c40c4e01b2c3f100fe0446a1b054b8
HumanEval/21,humaneval_plus,0,True,True,False,stop,stop,193,207,3.673085320259241,3.9395267424542113,results/baseline/primary/repeat-0/HumanEval_21.json,results/dflash5/matched-window/repeat-0/HumanEval_21.json,5cee0f38dcb00aad81ed448333d2fccfa65b9edd405af4cf0d137b0159c4bc79,0c2bdafa86bcbe1acefe62fa3c6bb91caef9ff736077976717527d62c4e57181
HumanEval/22,humaneval_plus,0,True,True,True,stop,stop,119,119,4.11779955308651,4.11779955308651,results/baseline/primary/repeat-0/HumanEval_22.json,results/dflash5/matched-window/repeat-0/HumanEval_22.json,9a6b81bea8dca52dfb7566643846f2f8a43937c08f32d9288aee5716fc8c2a02,e871583c51fea0d4522e0b623dd3963ba6f407a4de6ed6370e7e3f5130a53707
HumanEval/23,humaneval_plus,0,True,True,True,stop,stop,53,53,3.431513617911317,3.431513617911317,results/baseline/primary/repeat-0/HumanEval_23.json,results/dflash5/matched-window/repeat-0/HumanEval_23.json,689a58bdc944655d2a028df645a1135bd53813d8c486221e7ec8972e2f927446,ece5b705ba19ba5ae6660037f19dfd553a843fbdce23b12fb0a24509dc13b8d8
HumanEval/24,humaneval_plus,0,True,True,False,stop,stop,136,123,3.7383832695854937,3.3810378099927627,results/baseline/primary/repeat-0/HumanEval_24.json,results/dflash5/matched-window/repeat-0/HumanEval_24.json,8cf22ffc98a19c318e14ed63746608b8c18b4e319727ac9d4de695ee635f10e3,ce5786e7e798ecff5bdb6b7ac52bd28f2fb22d71bf831246ecc94cc69eba79a2
HumanEval/25,humaneval_plus,0,True,True,True,stop,stop,215,215,4.194990020231737,4.194990020231737,results/baseline/primary/repeat-0/HumanEval_25.json,results/dflash5/matched-window/repeat-0/HumanEval_25.json,ebc3a942cc202f2fd9f401c05b46a555b21947818d92527d7d412ad339f20ab2,18ca7ff0e0bd7e6afdb035e92d0cc20366a8315771f0df498254d7f25e6f83b6
HumanEval/26,humaneval_plus,0,True,True,True,stop,stop,141,141,3.9830027576689373,3.983002757668937,results/baseline/primary/repeat-0/HumanEval_26.json,results/dflash5/matched-window/repeat-0/HumanEval_26.json,21189dbeba2291cd87764ea8d43b3b5ef131b665bd73cf1e1d679db8028ff79b,14f0c5938538325957a70dd0ef7d74c1442510c53a74c8166b8944fef70d97f2
HumanEval/27,humaneval_plus,0,True,True,True,stop,stop,58,58,3.7460612941495963,3.7460612941495963,results/baseline/primary/repeat-0/HumanEval_27.json,results/dflash5/matched-window/repeat-0/HumanEval_27.json,f8f5fb0b7e422b902637517a977c3f74760adb2f7c71ddd0e91bdb4f0f332261,392d685de9b2464fc4829fc67b91ebcee022f1055041dd0c85f1c68160df29bc
HumanEval/28,humaneval_plus,0,True,True,True,stop,stop,70,70,3.8353296258075065,3.8353296258075065,results/baseline/primary/repeat-0/HumanEval_28.json,results/dflash5/matched-window/repeat-0/HumanEval_28.json,f0ed2779e7171aa4225fd117ff2db6b638d66da5ef348b6142e99527d9f94221,d066b57ef43d468113e88fce9ea0b1b0c815c0ed9292bab778f033d0d94f3610
HumanEval/29,humaneval_plus,0,True,True,True,stop,stop,107,107,4.0754914020739035,4.0754914020739035,results/baseline/primary/repeat-0/HumanEval_29.json,results/dflash5/matched-window/repeat-0/HumanEval_29.json,395b72f05ed59daf7146cb13adb24d28acb29b45f8f3640fd38c55996c4452e9,6abeb1c87c95e34bd21fbccc6a6ef0bdd474071007c8a813e4d82b79e1067965
HumanEval/30,humaneval_plus,0,True,True,True,stop,stop,139,139,4.056103419316373,4.056103419316373,results/baseline/primary/repeat-0/HumanEval_30.json,results/dflash5/matched-window/repeat-0/HumanEval_30.json,c30e298de6da74f8749d87b5caa0b9d25908126a8da58f6eb059c97726d49f51,3ed00763c2f454ad15f9a0b4fd75e222d9d42ba27ac62bad90eca5441c84f4f3
