task_id,dataset,repetition,reference_correct,candidate_correct,same_content,reference_finish,candidate_finish,reference_tokens,candidate_tokens,latency_ratio_reference_over_candidate,tps_ratio_candidate_over_reference,reference_record,candidate_record,reference_sha256,candidate_sha256
HumanEval/0,humaneval_plus,0,True,True,True,stop,stop,177,177,0.8880084101198815,0.8880084101198816,results/baseline/concurrency-1/repeat-0/HumanEval_0.json,results/baseline/concurrency-8/repeat-0/HumanEval_0.json,36aabfe8fd27bc6ca9062a616a151d839a281449863abe57cb412c46cfb179ec,2573593c31c8311dce546bc9ee4da59e10840cb854b64834936500656dc84d52
HumanEval/1,humaneval_plus,0,True,True,True,stop,stop,230,230,0.901228636386497,0.901228636386497,results/baseline/concurrency-1/repeat-0/HumanEval_1.json,results/baseline/concurrency-8/repeat-0/HumanEval_1.json,aa5f9244e2d916efeff762ef3d8a9578af79f42af8eabe4f4aa5287d1353ce96,debbde22be167fbbbcb37648cf266420bc56c1778ae2404f3c60b72222a4bd48
HumanEval/2,humaneval_plus,0,True,True,True,stop,stop,97,97,0.9036085085207438,0.9036085085207437,results/baseline/concurrency-1/repeat-0/HumanEval_2.json,results/baseline/concurrency-8/repeat-0/HumanEval_2.json,e7733a0cb8c18b0c237d36e5c44e5239ffba6484a726f0b647e615b31538ed17,14c7cee6ab5e22076e76aa845ef41443c6888172d20d72d256fe06361e1477fc
HumanEval/3,humaneval_plus,0,True,True,True,stop,stop,157,157,0.8949614348957484,0.8949614348957484,results/baseline/concurrency-1/repeat-0/HumanEval_3.json,results/baseline/concurrency-8/repeat-0/HumanEval_3.json,ced58886fae7080796b1d2a659140c9dc252ba4a10c6ca843dd2ea2f47d0b7c0,20dbca537fd6a0a34362b5976e0f1389a24dc0837baca37d01f4385f30519241
HumanEval/4,humaneval_plus,0,True,True,True,stop,stop,172,172,0.8958246783161155,0.8958246783161155,results/baseline/concurrency-1/repeat-0/HumanEval_4.json,results/baseline/concurrency-8/repeat-0/HumanEval_4.json,ebc77877120597cd3130f5337ba9888c8232f729333f9a36e6c793bfe6a2d2b8,4568f9a5cef6c444e14ddd6ba9a3ed2800c62ac3d191d3c1d2ef0378666a67a3
HumanEval/5,humaneval_plus,0,True,True,True,stop,stop,154,154,0.9004569827771414,0.9004569827771414,results/baseline/concurrency-1/repeat-0/HumanEval_5.json,results/baseline/concurrency-8/repeat-0/HumanEval_5.json,f0671927d0f4f4d931bf292b86d0a2b109ee09d96d1eded7183feca95cf9436a,b30b22b54e0f275c5dcd8a44c27ba4ee01c682b0823ef7c38e4fab84f41a6192
HumanEval/6,humaneval_plus,0,True,True,True,stop,stop,229,229,0.900675257016427,0.900675257016427,results/baseline/concurrency-1/repeat-0/HumanEval_6.json,results/baseline/concurrency-8/repeat-0/HumanEval_6.json,80e3b15e2d3d8f04d3b0061b2e413c3640e241c54c53a8ccb8ae96a993c92d47,e4e354267d77e3b3d9cbd11c8d0caa84dc2a762be296d1cd7aee9930a2424bbf
HumanEval/7,humaneval_plus,0,True,True,True,stop,stop,112,112,0.8932892365442596,0.8932892365442595,results/baseline/concurrency-1/repeat-0/HumanEval_7.json,results/baseline/concurrency-8/repeat-0/HumanEval_7.json,f4d3fe849276d2c572216527b543214c270ffe08d80685019330fa376f6c8378,0d3373df36149159308272716349e9ce170a3cc271a23338113c3ecce36960fd
HumanEval/8,humaneval_plus,0,True,True,True,stop,stop,163,163,0.9042922213402923,0.9042922213402923,results/baseline/concurrency-1/repeat-0/HumanEval_8.json,results/baseline/concurrency-8/repeat-0/HumanEval_8.json,7368edc9ed2af3df8086a068b19dcad9607ad1f7031e8faea2ebd8823298caee,8c0bb53814933d352ee7a1a312c4074bfa3a4686fe8623a459fc2f110621f7e5
HumanEval/9,humaneval_plus,0,True,True,True,stop,stop,162,162,0.9074411564921078,0.9074411564921078,results/baseline/concurrency-1/repeat-0/HumanEval_9.json,results/baseline/concurrency-8/repeat-0/HumanEval_9.json,7bc4731ef2880bfa259f211cd0151070e6bf80b981b8513c1d57d14819ef25ac,131813b3ee5253d27052f90ea96148bc07865a061bb4b245ddaa66c010a8d689
