task_id,dataset,repetition,reference_correct,candidate_correct,same_content,reference_finish,candidate_finish,reference_tokens,candidate_tokens,latency_ratio_reference_over_candidate,tps_ratio_candidate_over_reference,reference_record,candidate_record,reference_sha256,candidate_sha256
HumanEval/0,humaneval_plus,0,True,False,False,stop,length,177,4096,0.02504443552484832,0.5795593667219137,results/dflash15/concurrency-1/repeat-0/HumanEval_0.json,results/dflash15/concurrency-4/repeat-0/HumanEval_0.json,6194377cc102e93c239f85e252627cb040e1325be3d7416c6504eae07cc08811,cc67f07c449919c49e1f84c1bab502bbfe73ba2fdd7ed4eda3b0804b216956aa
HumanEval/1,humaneval_plus,0,True,True,True,stop,stop,230,230,0.26426122066110785,0.2642612206611079,results/dflash15/concurrency-1/repeat-0/HumanEval_1.json,results/dflash15/concurrency-4/repeat-0/HumanEval_1.json,a21d1930781a508d0f55641df0bcfd57928c2fb7f9acb4735d393ce5ee9eded9,1e746d6d0eb9cc56684b9afe3f58168e509cca3d9c827a0d285c4fe6204dfa17
HumanEval/2,humaneval_plus,0,True,False,False,stop,stop,97,78,0.0881855426229984,0.07091208582055541,results/dflash15/concurrency-1/repeat-0/HumanEval_2.json,results/dflash15/concurrency-4/repeat-0/HumanEval_2.json,f648daa3f61457d6f1face2ce8e5fdbe6a056a51d4b0d41d03862bacaddfd12e,1acd1ac012cada533093205b0f1f30f3271eadb92d8939c2f439aa5d326aa009
HumanEval/3,humaneval_plus,0,True,False,False,stop,stop,157,401,0.06089871368150582,0.1555438483202792,results/dflash15/concurrency-1/repeat-0/HumanEval_3.json,results/dflash15/concurrency-4/repeat-0/HumanEval_3.json,40d7c5d31ae61d9d24ab7137308e72c050db0458082381cef9c07bb287ed9af6,fe06ec51399039d3ba7423df078d887c534bd900374fb1b0aa8da7bae6ca84c8
HumanEval/4,humaneval_plus,0,True,True,False,stop,stop,172,301,0.31480721970612363,0.5509126344857164,results/dflash15/concurrency-1/repeat-0/HumanEval_4.json,results/dflash15/concurrency-4/repeat-0/HumanEval_4.json,85ca8da7a592a796971626744bb60bf6a1fd0333795d32830adfed71030d7a91,f549a9ba928cc1d6bf7f0941abf9cc27eeaf21586cdc9679d37bfaaef8e9f752
HumanEval/5,humaneval_plus,0,True,True,False,stop,stop,154,430,0.17389306257969722,0.48554556434590784,results/dflash15/concurrency-1/repeat-0/HumanEval_5.json,results/dflash15/concurrency-4/repeat-0/HumanEval_5.json,3184760bbb5c780236fd3a3a5056c3d65babbf9f28511de40fb318ba7a603b13,bc2225b0eb537fd7754cca955b516530e403263b5ecc09b3bbf168eb65c58f37
HumanEval/6,humaneval_plus,0,True,False,False,stop,stop,229,164,0.3248704407711315,0.23265830692779724,results/dflash15/concurrency-1/repeat-0/HumanEval_6.json,results/dflash15/concurrency-4/repeat-0/HumanEval_6.json,f7c4c397b6a1e9ae339f5f95838d7d7f954e5abefc424ee48baef3758ccd875b,442d16674df0cf10bf5973cd5241247eb2f5279a7ba92bc5bbb386a71d82a7a0
HumanEval/7,humaneval_plus,0,True,False,False,stop,stop,112,237,0.23785734565052893,0.5033231332069228,results/dflash15/concurrency-1/repeat-0/HumanEval_7.json,results/dflash15/concurrency-4/repeat-0/HumanEval_7.json,33ac99efd786f33863af08dea20ba9dea5ae62c407c9de99c4e2563137dfbf11,d2b071d8c14de0271d0196ab0700c2a0bb66377c3209e1e8dfb02f1d7ae9c6b2
HumanEval/8,humaneval_plus,0,True,False,False,stop,stop,163,239,0.2768960602922491,0.4060009718395554,results/dflash15/concurrency-1/repeat-0/HumanEval_8.json,results/dflash15/concurrency-4/repeat-0/HumanEval_8.json,2e406d654df4427b50d656a7bcfa18582f6fde95e85bc057ac723b8db073a7de,fd5cf36a77484bab51ed5e83ee50280568ce7ad85ce0310c0b37671d046b8e0c
HumanEval/9,humaneval_plus,0,True,False,False,stop,length,162,4096,0.010031833651052681,0.25364438663402333,results/dflash15/concurrency-1/repeat-0/HumanEval_9.json,results/dflash15/concurrency-4/repeat-0/HumanEval_9.json,90a80bba87d4ea6fee3256745adfdca8daabbfa0703b6d75a88b910e7f729227,75de8b4342003230787c40c8d14d1c7e70ab8ce2fe8543c85d54f3ce9f37040b
HumanEval/10,humaneval_plus,0,True,True,False,stop,stop,342,571,0.4960648758298801,0.82822527514287,results/dflash15/concurrency-1/repeat-0/HumanEval_10.json,results/dflash15/concurrency-4/repeat-0/HumanEval_10.json,bf2f3e70e5c2d5ac61cbf2a79e28e4f90c3c72ac0e253b29c4a0b42651511324,3cc85bb41ad4c06cede15372d154414214540b7587e07b4f14f26734b1aed838
HumanEval/11,humaneval_plus,0,True,False,False,stop,stop,140,856,0.05410049022441077,0.33078585451496867,results/dflash15/concurrency-1/repeat-0/HumanEval_11.json,results/dflash15/concurrency-4/repeat-0/HumanEval_11.json,f9be0db1697d7995a73e3696b471df03ac0d7f493b32ef31dd5184b3e277f458,e50bc75bff50d6d03f3ac61f37d6e31ba54c5d7abe0fb2c3e6568a606f67e895
HumanEval/12,humaneval_plus,0,True,False,False,stop,length,161,4096,0.04123588689157056,1.0490819422849256,results/dflash15/concurrency-1/repeat-0/HumanEval_12.json,results/dflash15/concurrency-4/repeat-0/HumanEval_12.json,27a0d589483cf88b82db0653435b766cfbc43f893face0c141959e937a87098d,b615585f05a260e39b703de6231267b4da14619e1714c970ba41410819a9a1d2
HumanEval/13,humaneval_plus,0,True,False,False,stop,length,109,4096,0.017559585932347067,0.6598537979715008,results/dflash15/concurrency-1/repeat-0/HumanEval_13.json,results/dflash15/concurrency-4/repeat-0/HumanEval_13.json,c0163187e92af18f95eb0462f3933f2ae61532ff71f4ae183ee459890f0bfb66,b5fb6186ce77e2e952fea7cca1ec7bf0f9aa91d4ce448ff6bdc79ad32459a899
HumanEval/14,humaneval_plus,0,True,True,False,stop,stop,79,275,0.0787948588004349,0.2742859008875898,results/dflash15/concurrency-1/repeat-0/HumanEval_14.json,results/dflash15/concurrency-4/repeat-0/HumanEval_14.json,eb4c6e53eaf839f79a9dc283298fc712898b164b2b47533adf4ea25b2a0aad02,beaef4acde0bd26250f0087479027ff7630c1f09bf5189ed43e01b6574374a45
HumanEval/15,humaneval_plus,0,True,False,False,stop,stop,92,48,0.2565232052998141,0.13383819406946823,results/dflash15/concurrency-1/repeat-0/HumanEval_15.json,results/dflash15/concurrency-4/repeat-0/HumanEval_15.json,d8f43528e6f1275e799a363c93a36ca27bd1998d139e70cd9e69c765408aa343,6700448a15ca8c61ff88be92f04f1a802d7d6b498ca9e5ce9ae854d956936845
HumanEval/16,humaneval_plus,0,True,True,False,stop,stop,122,199,0.33981058742145737,0.554281204072705,results/dflash15/concurrency-1/repeat-0/HumanEval_16.json,results/dflash15/concurrency-4/repeat-0/HumanEval_16.json,d5ffe464088dc152f488969e4a7e83c96a125d94a49a7c829fb96678a8d373a5,2e27c20470487a3e3ee88acdd579c06cf6064f09a6f0f3b7381fe29e4ce4363d
