task_id,dataset,repetition,reference_correct,candidate_correct,same_content,reference_finish,candidate_finish,reference_tokens,candidate_tokens,latency_ratio_reference_over_candidate,tps_ratio_candidate_over_reference,reference_record,candidate_record,reference_sha256,candidate_sha256
HumanEval/0,humaneval_plus,0,True,True,True,stop,stop,177,177,2.527603609116645,2.527603609116645,results/baseline/primary/repeat-0/HumanEval_0.json,results/mtp5/primary/repeat-0/HumanEval_0.json,5421341340a55d1e6772a93bb49fe62ed9c3be0bd6410d13fa4d119e8da07271,f82b5852d4a6f7726ecacdf3b8b607e9428b62a94a403c4f5aabf40edf56d093
HumanEval/1,humaneval_plus,0,True,True,True,stop,stop,230,230,3.7050382416417156,3.7050382416417156,results/baseline/primary/repeat-0/HumanEval_1.json,results/mtp5/primary/repeat-0/HumanEval_1.json,c3c75501db9ff8a20faffa36e3e2d3631dac97c60a75217321e68d4f3f73e1ae,f886981b3b43a2bad61468f94d316f9da7286e1f3a411b19a7fdbb17513a8743
HumanEval/2,humaneval_plus,0,True,True,True,stop,stop,97,97,3.731058847668056,3.7310588476680557,results/baseline/primary/repeat-0/HumanEval_2.json,results/mtp5/primary/repeat-0/HumanEval_2.json,502fbcee56b843fdf5ff5555306f2701c81d6dc82f8ef0bf5b31dfccbb907bbc,31c63a087b10f92a6fa680b22e7256663b6ec24283ed1dc2a125658df90833e3
HumanEval/3,humaneval_plus,0,True,True,True,stop,stop,157,157,3.7722540463831113,3.7722540463831113,results/baseline/primary/repeat-0/HumanEval_3.json,results/mtp5/primary/repeat-0/HumanEval_3.json,588340e8d0e151e911a9f92c75ad1b5dd6272523e82c01424ac5042c457b9098,1e650e369c2d8e41891b2770eb2fc4c2d646b9a9bbfca09b9f8b39bff554c50d
HumanEval/4,humaneval_plus,0,True,True,True,stop,stop,172,172,3.8687114610250135,3.868711461025014,results/baseline/primary/repeat-0/HumanEval_4.json,results/mtp5/primary/repeat-0/HumanEval_4.json,6121bb505ce8eb114faa08a944de92661464a15c7c4d48f8eee22392d3ff4c4a,f3712480632df926ceb8d68c08ecb6e4d86e4d0258eacc3bb41485474870070a
HumanEval/5,humaneval_plus,0,True,True,True,stop,stop,154,154,4.145651813001198,4.145651813001199,results/baseline/primary/repeat-0/HumanEval_5.json,results/mtp5/primary/repeat-0/HumanEval_5.json,1d024b4bcce9f79383405c4ada110d1ece12aeaecaf98afd57239afc71528d09,8ad96e909a49fbbc6a260df0527258edb2625a96335c05686f55de9ced9e1aac
HumanEval/6,humaneval_plus,0,True,True,True,stop,stop,229,229,3.787724665870415,3.787724665870415,results/baseline/primary/repeat-0/HumanEval_6.json,results/mtp5/primary/repeat-0/HumanEval_6.json,fed865312a36d450097fd80125f4066d6a3a08d99e1d1306961be1a2a9c303da,48a068a58f209f4fc8b30116c47ae28856c7a69cb421ca5505821b748efc7ac1
HumanEval/7,humaneval_plus,0,True,True,True,stop,stop,112,112,3.709489093958302,3.7094890939583016,results/baseline/primary/repeat-0/HumanEval_7.json,results/mtp5/primary/repeat-0/HumanEval_7.json,9032591c495e5bb8a47afc198e53209e8016ead3cf68de0c126d7fa983f1a062,16b45bb0cb82660aea9aba8b2b20451d8260f1c6de437a03cf1c8f7758998fa7
HumanEval/8,humaneval_plus,0,True,True,True,stop,stop,163,163,3.779816278112364,3.7798162781123636,results/baseline/primary/repeat-0/HumanEval_8.json,results/mtp5/primary/repeat-0/HumanEval_8.json,80eb8ec6a6342a5ee6e14528739a76380af47e410c0bf67d9c1e4c82bef51293,d4fceefc1c8b9e591bcaa41e6b74d70a5bf08211519da74945b83be2703d3379
HumanEval/9,humaneval_plus,0,True,True,True,stop,stop,162,162,3.6662591607607964,3.6662591607607964,results/baseline/primary/repeat-0/HumanEval_9.json,results/mtp5/primary/repeat-0/HumanEval_9.json,f0e83050e8df06587e87d861ab88c1c3d03b6883e34eba586b20cd532dd8f6ae,d626d183d5657b0ff1a6c1f9394bbb6b9d3217e1d04f5cf8ddf1eea520623a11
HumanEval/10,humaneval_plus,0,True,True,False,stop,stop,315,323,3.0091291777507188,3.0855515060745464,results/baseline/primary/repeat-0/HumanEval_10.json,results/mtp5/primary/repeat-0/HumanEval_10.json,e6f3547e85023b9c1e71ba49baee53ae08018d3a2e3e126ab419324fff7fea46,e3bc7ece4bb56d4706eca51934f8b2341d5da3ddb15d73dc19d7166c01f52757
HumanEval/11,humaneval_plus,0,True,True,True,stop,stop,140,140,3.7650672204315168,3.7650672204315168,results/baseline/primary/repeat-0/HumanEval_11.json,results/mtp5/primary/repeat-0/HumanEval_11.json,6add5db31ca938a2dbb9ef9c43542ecee03ec12db92a0ca26b737cb4b159b40f,f26d71faa23a87b77bd7770a2048efa9666d6b5c99fa0a95a534925a164359e7
HumanEval/12,humaneval_plus,0,True,True,True,stop,stop,161,161,3.5168233153163198,3.5168233153163198,results/baseline/primary/repeat-0/HumanEval_12.json,results/mtp5/primary/repeat-0/HumanEval_12.json,c15a75bb4df39cb37a0e496d81f98ad846f83235a5a2e94f9c5bb0497a85671e,c4645b923f27a85d4ed2d8cc57047413161632d527c08cb944bf60063c707316
HumanEval/13,humaneval_plus,0,True,True,True,stop,stop,109,109,3.6503421850994315,3.6503421850994315,results/baseline/primary/repeat-0/HumanEval_13.json,results/mtp5/primary/repeat-0/HumanEval_13.json,bc1b4fdd7b3d1a043b733bb7658282b09cf236fcfd1275a442a7846ee4690664,7c37d03a97399774e9fbb71816fd10a1d76220339971dba9bd35e2cea670811f
