task_id,dataset,repetition,reference_correct,candidate_correct,same_content,reference_finish,candidate_finish,reference_tokens,candidate_tokens,latency_ratio_reference_over_candidate,tps_ratio_candidate_over_reference,reference_record,candidate_record,reference_sha256,candidate_sha256
HumanEval/0,humaneval_plus,0,True,True,False,stop,stop,191,200,3.439297542177147,3.6013586829080073,results/baseline/sampling/repeat-0/HumanEval_0.json,results/mtp5/sampling/repeat-0/HumanEval_0.json,4ddcb23aecb68e21633bc561ed52a5677f9809cbabd97ff24b5a221c009c831c,13756291204f5d01ffe2078126814a84d970fb0abd3821eebb837457b0db917d
HumanEval/1,humaneval_plus,0,True,True,True,stop,stop,230,230,3.674170873605488,3.674170873605488,results/baseline/sampling/repeat-0/HumanEval_1.json,results/mtp5/sampling/repeat-0/HumanEval_1.json,0e71228e74f91f8adf56260ecd853a2f43f6e4ee98cbc7e439a49174f5a4c16f,9bd62d24dbb33a832de9855063b368e343f5f416ae0891265479dfe088787bd8
HumanEval/2,humaneval_plus,0,True,True,False,stop,stop,165,97,6.350908279810609,3.7335642614644184,results/baseline/sampling/repeat-0/HumanEval_2.json,results/mtp5/sampling/repeat-0/HumanEval_2.json,e65a8c39dba8fa2752d3122169472902faf41cf610bf57e76726fe9c8be5bb5a,746ba6ce9afe972f08a996fdfac3f7b92e20157c02d4aa494602a15fd67a6b77
HumanEval/3,humaneval_plus,0,True,True,True,stop,stop,157,157,3.708452924574891,3.708452924574891,results/baseline/sampling/repeat-0/HumanEval_3.json,results/mtp5/sampling/repeat-0/HumanEval_3.json,a1ae37661e62d41dc01dd62584447c90d8c0662b2fd54a2494a8cf2e031aabbe,93fc3f8b541a1d98626a0da0a81e1d89163ee1ad38b55574c437c92701bdd2c3
HumanEval/4,humaneval_plus,0,True,True,False,stop,stop,172,174,3.6960010310011597,3.7389777871755916,results/baseline/sampling/repeat-0/HumanEval_4.json,results/mtp5/sampling/repeat-0/HumanEval_4.json,976a2712b4b2b615bc417fc68a08843af85d075e1bc407d147344790403e4ccb,80e75479643d5677b169bdfe36e2a0064e2b38a8a5d7b8748bd8168073b672c5
HumanEval/5,humaneval_plus,0,True,True,True,stop,stop,154,154,3.673369879188527,3.673369879188527,results/baseline/sampling/repeat-0/HumanEval_5.json,results/mtp5/sampling/repeat-0/HumanEval_5.json,318bf44b72a2f87ef26b5df745a552e517b7484d0dd0379f35a109a4e8cd4392,984d1780527df76eed5c92f7d908a38ec2cc49a3130d0c77b9c10cc44e2c2866
HumanEval/6,humaneval_plus,0,True,True,False,stop,stop,209,229,3.4165517639220986,3.743494516450529,results/baseline/sampling/repeat-0/HumanEval_6.json,results/mtp5/sampling/repeat-0/HumanEval_6.json,75587f8fe8ea3b5990a29725c32c94f469c512c3613147c3f4231052c76f64d2,8bdfcf67cda09a8ffba4d6a00a101222012048b338277d09c870d9d4a298e305
HumanEval/7,humaneval_plus,0,True,True,True,stop,stop,112,112,3.6946580017000468,3.6946580017000468,results/baseline/sampling/repeat-0/HumanEval_7.json,results/mtp5/sampling/repeat-0/HumanEval_7.json,360987ba87246d88d680f5986fde229e21e1e99c39940901ad6042ff98406e97,655030352f4dd1072ceefddfa86694523baed7c9b7730af56d58e7aab724bf63
MATH-500/0,math_500,0,True,True,False,stop,stop,524,356,4.950807132250788,3.363525456261986,results/baseline/sampling/repeat-0/MATH-500_0.json,results/mtp5/sampling/repeat-0/MATH-500_0.json,a1b6709bd78ad19adab1d684a1f20bc87136c18d56b4b10cfab60a6159ae0ed0,60d62214b45c68ca12ee42f645707a4ba1a33d6bd71dfcea90d4ce4cbca98e11
MATH-500/1,math_500,0,True,True,False,stop,stop,1068,936,3.9354317692559864,3.4490300899097406,results/baseline/sampling/repeat-0/MATH-500_1.json,results/mtp5/sampling/repeat-0/MATH-500_1.json,076dfb400dd869491a745b12683b8e370db02660c6110e164f5720b65be1e969,acd565b5f3cd8ed1b5edaf0e2043680c5ef4f2bc77280312511aec9eee892081
MATH-500/2,math_500,0,True,True,False,stop,stop,549,564,3.475184351623441,3.5701347437443,results/baseline/sampling/repeat-0/MATH-500_2.json,results/mtp5/sampling/repeat-0/MATH-500_2.json,dec2fdd6e18530a2b24709cd5741432fea8958e0aa3b510d9c31e6ea18de7f23,2ee23fa19a33ade53424e9ad84642ed0eaed4fd6015275b95b1543ab1a812376
MATH-500/3,math_500,0,True,True,False,stop,stop,804,868,3.278425763979977,3.539394979023159,results/baseline/sampling/repeat-0/MATH-500_3.json,results/mtp5/sampling/repeat-0/MATH-500_3.json,4901d2453adb453ad3413eb6889f302f34dc81d912af5958947c18eada60a9b6,033518c10025eb750378698421245e58bdb28ecdfebe255ce25b60ef3604679a
