task_id,dataset,repetition,reference_correct,candidate_correct,same_content,reference_finish,candidate_finish,reference_tokens,candidate_tokens,latency_ratio_reference_over_candidate,tps_ratio_candidate_over_reference,reference_record,candidate_record,reference_sha256,candidate_sha256
HumanEval/0,humaneval_plus,0,True,True,True,stop,stop,177,177,0.7000903541540928,0.7000903541540928,results/mtp5/primary/repeat-0/HumanEval_0.json,results/dflash5/matched-window/repeat-0/HumanEval_0.json,f82b5852d4a6f7726ecacdf3b8b607e9428b62a94a403c4f5aabf40edf56d093,319c060f5b1d367a3949264ce6cf376405304f96cbe8c2f7f3e1d08313cbe34d
HumanEval/1,humaneval_plus,0,True,True,True,stop,stop,230,230,1.1124007045117474,1.1124007045117474,results/mtp5/primary/repeat-0/HumanEval_1.json,results/dflash5/matched-window/repeat-0/HumanEval_1.json,f886981b3b43a2bad61468f94d316f9da7286e1f3a411b19a7fdbb17513a8743,a8eee4a3a4a3fed64ee4792ce351ba74a001a9d33f74c7110ffe59c2950f3bae
HumanEval/2,humaneval_plus,0,True,True,True,stop,stop,97,97,0.9735788576742891,0.9735788576742891,results/mtp5/primary/repeat-0/HumanEval_2.json,results/dflash5/matched-window/repeat-0/HumanEval_2.json,31c63a087b10f92a6fa680b22e7256663b6ec24283ed1dc2a125658df90833e3,38828dff4df75ae5b21964350464e2f3b5c86b766ce2625d2db7dda2937098a0
HumanEval/3,humaneval_plus,0,True,True,True,stop,stop,157,157,1.085333550250977,1.085333550250977,results/mtp5/primary/repeat-0/HumanEval_3.json,results/dflash5/matched-window/repeat-0/HumanEval_3.json,1e650e369c2d8e41891b2770eb2fc4c2d646b9a9bbfca09b9f8b39bff554c50d,1804041379c04aa12a4837d1074839f86d97ba41053d5215ad25b2dc4c59f727
HumanEval/4,humaneval_plus,0,True,True,True,stop,stop,172,172,1.0516905903787928,1.0516905903787928,results/mtp5/primary/repeat-0/HumanEval_4.json,results/dflash5/matched-window/repeat-0/HumanEval_4.json,f3712480632df926ceb8d68c08ecb6e4d86e4d0258eacc3bb41485474870070a,439334ed20ca743e369d3e99261065616296ba113ab678d922ce232954ff3070
HumanEval/5,humaneval_plus,0,True,True,True,stop,stop,154,154,0.9160921631679078,0.9160921631679078,results/mtp5/primary/repeat-0/HumanEval_5.json,results/dflash5/matched-window/repeat-0/HumanEval_5.json,8ad96e909a49fbbc6a260df0527258edb2625a96335c05686f55de9ced9e1aac,14dd017b2e7a3243f2d0e8c617f1bee2c4b24f22c2e7f8a951aaeceec9316e59
HumanEval/6,humaneval_plus,0,True,True,True,stop,stop,229,229,1.0906764101152489,1.090676410115249,results/mtp5/primary/repeat-0/HumanEval_6.json,results/dflash5/matched-window/repeat-0/HumanEval_6.json,48a068a58f209f4fc8b30116c47ae28856c7a69cb421ca5505821b748efc7ac1,9a90028425344533d1f6163e512ad3b417dc899e70f141aa5371540acbea73b4
HumanEval/7,humaneval_plus,0,True,True,True,stop,stop,112,112,1.0899609774722505,1.0899609774722507,results/mtp5/primary/repeat-0/HumanEval_7.json,results/dflash5/matched-window/repeat-0/HumanEval_7.json,16b45bb0cb82660aea9aba8b2b20451d8260f1c6de437a03cf1c8f7758998fa7,d47a3103d56cad9600fffb09aebbb9f6f83d39a3b9de7e01dceda01e934f4936
HumanEval/8,humaneval_plus,0,True,True,True,stop,stop,163,163,1.0513468387961422,1.0513468387961422,results/mtp5/primary/repeat-0/HumanEval_8.json,results/dflash5/matched-window/repeat-0/HumanEval_8.json,d4fceefc1c8b9e591bcaa41e6b74d70a5bf08211519da74945b83be2703d3379,ae386cd49e07eae2840383189b432d24264bf459d9e55a93c340bc8404396694
HumanEval/9,humaneval_plus,0,True,True,True,stop,stop,162,162,1.1193662038782166,1.1193662038782166,results/mtp5/primary/repeat-0/HumanEval_9.json,results/dflash5/matched-window/repeat-0/HumanEval_9.json,d626d183d5657b0ff1a6c1f9394bbb6b9d3217e1d04f5cf8ddf1eea520623a11,565f0f22b9b8f63e13653021ec27711fe3774a11ae9d974f0989ebdfa68497de
HumanEval/10,humaneval_plus,0,True,True,False,stop,stop,323,327,1.148521497766733,1.1627446742096648,results/mtp5/primary/repeat-0/HumanEval_10.json,results/dflash5/matched-window/repeat-0/HumanEval_10.json,e3bc7ece4bb56d4706eca51934f8b2341d5da3ddb15d73dc19d7166c01f52757,cba3f9f78ca41b208887bc906fef284069a69eef6bb93f175096bdce2047a986
HumanEval/11,humaneval_plus,0,True,True,True,stop,stop,140,140,1.0481465782369979,1.0481465782369976,results/mtp5/primary/repeat-0/HumanEval_11.json,results/dflash5/matched-window/repeat-0/HumanEval_11.json,f26d71faa23a87b77bd7770a2048efa9666d6b5c99fa0a95a534925a164359e7,92131b754b5bca046c2d61b4c30b54bac9aef510be57876e0463b7a404c59ce8
HumanEval/12,humaneval_plus,0,True,True,True,stop,stop,161,161,1.1610880151066953,1.1610880151066953,results/mtp5/primary/repeat-0/HumanEval_12.json,results/dflash5/matched-window/repeat-0/HumanEval_12.json,c4645b923f27a85d4ed2d8cc57047413161632d527c08cb944bf60063c707316,87464342b75e5326125f9f5dae7c3c032f8adeda4101fd9cd888125eddc0e571
HumanEval/13,humaneval_plus,0,True,True,True,stop,stop,109,109,1.0385354841698764,1.0385354841698764,results/mtp5/primary/repeat-0/HumanEval_13.json,results/dflash5/matched-window/repeat-0/HumanEval_13.json,7c37d03a97399774e9fbb71816fd10a1d76220339971dba9bd35e2cea670811f,df4d04f5c67273398a343c17fac7fee10a5499eef9435f6b1cb0f4fb828828eb
HumanEval/14,humaneval_plus,0,True,True,False,stop,stop,95,79,1.2811106183270344,1.0653446194509024,results/mtp5/primary/repeat-0/HumanEval_14.json,results/dflash5/matched-window/repeat-0/HumanEval_14.json,f1120dbfb0344f6ee0f8f2506f622784857c08fa13003bf3ab159296bf81b059,dcdccfc9f9b22b47d5c97d729035bc9176d5f489f005e1e6451dfa38fc47cc69
HumanEval/15,humaneval_plus,0,True,True,True,stop,stop,92,92,1.1409997044753726,1.1409997044753728,results/mtp5/primary/repeat-0/HumanEval_15.json,results/dflash5/matched-window/repeat-0/HumanEval_15.json,e9907a11f3a4614f10b26079a88f4acbe71cafc4b5f6a61bce1954ae488b3519,8f46ca8bf38641e4414cf0083a73927e6e67063bc7d4c1004044a4563ae192f8
HumanEval/16,humaneval_plus,0,True,True,True,stop,stop,122,122,1.0867566800489863,1.0867566800489863,results/mtp5/primary/repeat-0/HumanEval_16.json,results/dflash5/matched-window/repeat-0/HumanEval_16.json,65f3c35e2ebf68ff53b6012bbd6f10cec423adaf202c58b367120da40ba8fdd0,dfbea652bfce4830a28a384475be19458b3a5661d3298430faa25e2855cc37ae
HumanEval/17,humaneval_plus,0,True,True,True,stop,stop,261,261,1.0995077671399378,1.0995077671399378,results/mtp5/primary/repeat-0/HumanEval_17.json,results/dflash5/matched-window/repeat-0/HumanEval_17.json,af4eb7ecb15f450a02beb239e067ff8e62af49d18493c80104c8a2bea851b15e,8c40809c3e49662b0074f7128c26b2cae590d9b5e5d6b6aef29553243a11b0f6
HumanEval/18,humaneval_plus,0,True,True,True,stop,stop,161,161,1.1937268679326194,1.1937268679326194,results/mtp5/primary/repeat-0/HumanEval_18.json,results/dflash5/matched-window/repeat-0/HumanEval_18.json,608705a7b9f6d1f5d315e4ed33513697d207823a797e3901f1f9ee63531f3947,680ef5782a1cfdbe32adc8a52ceaa152d53c600ed5f8ebe4f722b0c06476a3db
HumanEval/19,humaneval_plus,0,True,True,True,stop,stop,254,254,1.0647711263251505,1.0647711263251505,results/mtp5/primary/repeat-0/HumanEval_19.json,results/dflash5/matched-window/repeat-0/HumanEval_19.json,0d864e09ed6e36dc23ab564dda5247ad152ec10d3191a03e40d32602e067b1f7,90179a0bd2b1cb1a965961734d96a67ce79fa82652efa44d6942cc95470884cc
