task_id,dataset,repetition,reference_correct,candidate_correct,same_content,reference_finish,candidate_finish,reference_tokens,candidate_tokens,latency_ratio_reference_over_candidate,tps_ratio_candidate_over_reference,reference_record,candidate_record,reference_sha256,candidate_sha256
HumanEval/0,humaneval_plus,0,True,True,True,stop,stop,177,177,0.2829828942711341,0.2829828942711341,results/mtp5/concurrency-1/repeat-0/HumanEval_0.json,results/mtp5/concurrency-4/repeat-0/HumanEval_0.json,8e9097599ceb7a8ac8db41a60a8197e42d9a6d13bdeab131b5a4cc979c1a8dcf,83665201a45ac750a4afa2f2930983a6df3ea42204a1eccb3d2a5116f40e9463
HumanEval/1,humaneval_plus,0,True,True,True,stop,stop,230,230,0.35089615290378395,0.3508961529037839,results/mtp5/concurrency-1/repeat-0/HumanEval_1.json,results/mtp5/concurrency-4/repeat-0/HumanEval_1.json,83fe8dd9b3815ddbe6116d5ea7ee0dcd2b07ec8a1b07dcc9178309667ed59dc2,54bbcb2d003a3afc45f2677dd68d96566d9277144252804c36906b11e8217f4b
HumanEval/2,humaneval_plus,0,True,True,True,stop,stop,97,97,0.20880827256848242,0.20880827256848242,results/mtp5/concurrency-1/repeat-0/HumanEval_2.json,results/mtp5/concurrency-4/repeat-0/HumanEval_2.json,216cc3180ed2efc61fdcaf6b484a6e808e1ceba60eb7ad020c25c9c5a6a8bd4f,950c38c4caadf4e872557262683e9ec423a980a598d35ab1daf701f127b8241d
HumanEval/3,humaneval_plus,0,True,True,True,stop,stop,157,157,0.28894244689204035,0.2889424468920404,results/mtp5/concurrency-1/repeat-0/HumanEval_3.json,results/mtp5/concurrency-4/repeat-0/HumanEval_3.json,b03fbed62d4d4081d0fc5d4f208f828d6ee35ebe163d2c7c4e12d13746b30903,c4ffa748d064d08c509c92e7c1c0969b274e54945735f3c7f56c7287139bbdec
HumanEval/4,humaneval_plus,0,True,True,True,stop,stop,172,172,0.7303523946928558,0.7303523946928558,results/mtp5/concurrency-1/repeat-0/HumanEval_4.json,results/mtp5/concurrency-4/repeat-0/HumanEval_4.json,35c3b0021df38a7f7adf8569e9cecbcc656fa5ecba8cf07d5a676930d9417f19,d08638d4161edb0a65ff45eb22a3cb1f633a98407238d4d5e2477bfa10c615fd
HumanEval/5,humaneval_plus,0,True,True,True,stop,stop,154,154,0.7183458428083274,0.7183458428083274,results/mtp5/concurrency-1/repeat-0/HumanEval_5.json,results/mtp5/concurrency-4/repeat-0/HumanEval_5.json,e7d7684125f4798727ef1f62bd8e1552a67cd7191990958af83af6df5b422fc5,b0063583f55bbe25df4c8855a09eefe3b8ff6ad7301c4562cadcb300af0c4e64
HumanEval/6,humaneval_plus,0,True,True,True,stop,stop,229,229,0.8734867055328317,0.8734867055328317,results/mtp5/concurrency-1/repeat-0/HumanEval_6.json,results/mtp5/concurrency-4/repeat-0/HumanEval_6.json,367dcd1b2d56cda3caa93659e4f2161e5086f3f805513bcc5a52300a041d600d,02636af725e4f0622c89cecddfd441d060d4640b0ad32121369011d5a39fd059
HumanEval/7,humaneval_plus,0,True,True,True,stop,stop,112,112,0.862133555376929,0.8621335553769292,results/mtp5/concurrency-1/repeat-0/HumanEval_7.json,results/mtp5/concurrency-4/repeat-0/HumanEval_7.json,2bfe4d1d2336fb8c401fd95c9d43e3cba53dcd394e367b45ea6129bdd5472e3e,285d7ae813109a8176f7ab22f5b00b02e1fc259d504fd9a8795e7209da4e2f03
HumanEval/8,humaneval_plus,0,True,True,True,stop,stop,163,163,0.8581148205566066,0.8581148205566066,results/mtp5/concurrency-1/repeat-0/HumanEval_8.json,results/mtp5/concurrency-4/repeat-0/HumanEval_8.json,c4c72d8444e81fd7e2f72aa74561ce72dc1ba1a2358f72bf8a3867443dbf3bc4,38e4844b49ed4f4ff8e97a7c1f90966f0e8f5602ab4d785b04dfee249950400c
HumanEval/9,humaneval_plus,0,True,True,True,stop,stop,162,162,0.8572102193134956,0.8572102193134956,results/mtp5/concurrency-1/repeat-0/HumanEval_9.json,results/mtp5/concurrency-4/repeat-0/HumanEval_9.json,45f273191a28e628dec39971f3fb9957ba62dfbdcab3014f2d499ec18cde46e1,929c1fcaaf45328986a9004058969120b1f91925442b900b36d595a3d2e8aeb7
HumanEval/10,humaneval_plus,0,True,True,False,stop,stop,323,342,0.8378190350458896,0.8871025076956477,results/mtp5/concurrency-1/repeat-0/HumanEval_10.json,results/mtp5/concurrency-4/repeat-0/HumanEval_10.json,2dc6a7a3fdafbda20faec038389e5b5b36469d01bfa34ddc94626d3448212243,eea0ce84b678a387e158bf21eb8579bbf1b20e6dcbbff233501ddbdf359600ee
HumanEval/11,humaneval_plus,0,True,True,True,stop,stop,140,140,0.8721651129940355,0.8721651129940354,results/mtp5/concurrency-1/repeat-0/HumanEval_11.json,results/mtp5/concurrency-4/repeat-0/HumanEval_11.json,40c9cac9e17a501aebfb239b303df7550bd0d7e45f4ffa7283abb8502f31704e,10162bbdcb531c6589ef0e2693f2b92bf76584721ad28b44f037b4060e96b5d3
HumanEval/12,humaneval_plus,0,True,True,True,stop,stop,161,161,0.8861318563670024,0.8861318563670023,results/mtp5/concurrency-1/repeat-0/HumanEval_12.json,results/mtp5/concurrency-4/repeat-0/HumanEval_12.json,42b9dbc5281d9ec7adad38d3687c79bb107559d901d6810c954f39263d475229,cdcf34eca1aaaeaf8e3daa18e5d8935fd51dcdd85bdea7ce23e4a7086f360cf1
HumanEval/13,humaneval_plus,0,True,True,True,stop,stop,109,109,0.8735261866082026,0.8735261866082026,results/mtp5/concurrency-1/repeat-0/HumanEval_13.json,results/mtp5/concurrency-4/repeat-0/HumanEval_13.json,c7f69cd4e18d4d681ca4fe2bd8619691df1fdd507dc3e0807ca943b495191536,224429425f7202674309f416fa5165bac16a63819560060f9acd8beaa75e4358
HumanEval/14,humaneval_plus,0,True,True,True,stop,stop,95,95,0.8555714808201299,0.8555714808201298,results/mtp5/concurrency-1/repeat-0/HumanEval_14.json,results/mtp5/concurrency-4/repeat-0/HumanEval_14.json,c919297a92c9e0ff8c3fa1f784a259b549e6d6d42e4d39367223eeb8b87fdf9c,ae3bfc70831c84d1cbc7592ee8f4e8c122b59a4c22f2fb781137b275e9df9910
HumanEval/15,humaneval_plus,0,True,True,True,stop,stop,92,92,0.838933067387881,0.8389330673878809,results/mtp5/concurrency-1/repeat-0/HumanEval_15.json,results/mtp5/concurrency-4/repeat-0/HumanEval_15.json,f3f0da8d14da22667ccbfd4af5389317b1dd5464d90a85cc8bf51df13052260f,78222dd64c54fbb4147589d6a53893ff1859650028b4c50dd4e459dc9c442af2
HumanEval/16,humaneval_plus,0,True,True,True,stop,stop,122,122,0.8395563093010225,0.8395563093010225,results/mtp5/concurrency-1/repeat-0/HumanEval_16.json,results/mtp5/concurrency-4/repeat-0/HumanEval_16.json,1894922093d16c6292eb5619561d46f735412daeaafc5a23621490fdafa65da3,341921bd07488fac27dae189b2103c30d36e1630e1d15c3ab86c77265e77c2f8
HumanEval/17,humaneval_plus,0,True,True,True,stop,stop,261,261,0.87060897499733,0.87060897499733,results/mtp5/concurrency-1/repeat-0/HumanEval_17.json,results/mtp5/concurrency-4/repeat-0/HumanEval_17.json,bbbcb5c4ba528e324368cd8ce3667ac95179d0dc67efdef085195b070b4012a7,1825b68870afa97274c3fb23b4c7f84f237537e7ccc7faf0e9a61c037703411b
HumanEval/18,humaneval_plus,0,True,True,True,stop,stop,161,161,0.872710136984866,0.8727101369848661,results/mtp5/concurrency-1/repeat-0/HumanEval_18.json,results/mtp5/concurrency-4/repeat-0/HumanEval_18.json,25b7e15916f1133ffbee262805057518b02e6ca55af396576a98eb6c5601f06f,db87f17fb3b5d3a04fa0f9156e81263284bc567e5d911878a694235f172193f7
HumanEval/19,humaneval_plus,0,True,True,True,stop,stop,254,254,0.8835572701509586,0.8835572701509585,results/mtp5/concurrency-1/repeat-0/HumanEval_19.json,results/mtp5/concurrency-4/repeat-0/HumanEval_19.json,cef096ea06cf457931f232faa0e06835ea281055aced06090116f524123b6d2c,06de3c7c9f7558be15a3553359153980accf3c9a901fba67801cb9fc6a49d338
HumanEval/20,humaneval_plus,0,True,True,True,stop,stop,309,309,0.8951611060251863,0.8951611060251864,results/mtp5/concurrency-1/repeat-0/HumanEval_20.json,results/mtp5/concurrency-4/repeat-0/HumanEval_20.json,f3ee62ed42b2f13de4983da89561f047739d95e148f3318fc78bf98ce922276c,5101182d585b34791813bd20d67fa5ad180c0079639b9eaef25bbc8ec32c3759
HumanEval/21,humaneval_plus,0,True,True,False,stop,stop,193,207,0.7767006430119211,0.8330416222977598,results/mtp5/concurrency-1/repeat-0/HumanEval_21.json,results/mtp5/concurrency-4/repeat-0/HumanEval_21.json,c1b9f8d6bc0bdd54d4be094be1c0e9152e49e9ed54f00f0edd4c30b8ca079486,8427bc968f8255705d3964a089dfee54b824ba1d48fbf723e0ccb040f1382a39
HumanEval/22,humaneval_plus,0,True,True,True,stop,stop,119,119,0.8929455128198336,0.8929455128198335,results/mtp5/concurrency-1/repeat-0/HumanEval_22.json,results/mtp5/concurrency-4/repeat-0/HumanEval_22.json,ae82f8b0d04a1bc27396912771001fa8ad77996cda685268c5bf8f503269da4c,5cae00f5ae572564ec8ac014f1ea5de42bc320c50c0a0b5221fdf8914abbcc47
HumanEval/23,humaneval_plus,0,True,True,True,stop,stop,53,53,0.8385345416869847,0.8385345416869847,results/mtp5/concurrency-1/repeat-0/HumanEval_23.json,results/mtp5/concurrency-4/repeat-0/HumanEval_23.json,4e7288d2a98054b4cbdbe57756c1b09fe0224112da61b78c03d552b97e8e7b29,2c76261549a4831d7de327d71ac87c0789a92413355e616b19b1013375917489
HumanEval/24,humaneval_plus,0,True,True,True,stop,stop,134,134,0.8929059318324255,0.8929059318324254,results/mtp5/concurrency-1/repeat-0/HumanEval_24.json,results/mtp5/concurrency-4/repeat-0/HumanEval_24.json,cde03818476f293d91edcaf95c7a72ebb66004cfb51fbf1394e1bed3d29068dd,292e8b8567084b08f2d11718627e2a246e623675b541c1e7744dafe242381171
HumanEval/25,humaneval_plus,0,True,True,True,stop,stop,215,215,0.8543149417485801,0.8543149417485801,results/mtp5/concurrency-1/repeat-0/HumanEval_25.json,results/mtp5/concurrency-4/repeat-0/HumanEval_25.json,c29a3a33e084d29401c6abf9f8e6576836e1de42999ad7d335e0fb5ca95b9826,fe79120dad95ea7e2000339a3e308bdddad08d0da452418a2d0f1a21dc12e0f2
HumanEval/26,humaneval_plus,0,True,True,True,stop,stop,141,141,0.8663256315169533,0.8663256315169533,results/mtp5/concurrency-1/repeat-0/HumanEval_26.json,results/mtp5/concurrency-4/repeat-0/HumanEval_26.json,ebb712dda26e283c50ac05f31b9cbe8103bfbdf275c12c9cee84eb1cac18842d,cf9e8e50101d2b787add27b8de85c8b16f335f7a9821dbf112ccab03c9dbb1c9
HumanEval/27,humaneval_plus,0,True,True,True,stop,stop,58,58,0.8714750299191291,0.8714750299191291,results/mtp5/concurrency-1/repeat-0/HumanEval_27.json,results/mtp5/concurrency-4/repeat-0/HumanEval_27.json,3f98f1a29242770f7c7f281551297d32d4024fc0d2a936ec2684d430312e43d1,5d8c371f68d6bfa3aa2ed0a898ed17d42564e3cb12e6439b0f2fdc01883cb465
HumanEval/28,humaneval_plus,0,True,True,True,stop,stop,70,70,0.8128978822508175,0.8128978822508175,results/mtp5/concurrency-1/repeat-0/HumanEval_28.json,results/mtp5/concurrency-4/repeat-0/HumanEval_28.json,08c530f47f409631fac9feab38a0ca81a58cfd5245bd3d3566775b70bf8102e5,3de4bf81b39a007547902f64338b75ca193776312aa3e0a6672237e7f95b64ad
HumanEval/29,humaneval_plus,0,True,True,True,stop,stop,107,107,0.8377505631087856,0.8377505631087855,results/mtp5/concurrency-1/repeat-0/HumanEval_29.json,results/mtp5/concurrency-4/repeat-0/HumanEval_29.json,40fb68c5bbae843a810385a23c89d7a897f542116172cbe1c130cb4441ad48df,46cf9958cf945e9dd05de1927c70dc8d6c9c70090eeaa4a7f732977c37d4b42c
HumanEval/30,humaneval_plus,0,True,True,True,stop,stop,139,139,0.8490786789005783,0.8490786789005782,results/mtp5/concurrency-1/repeat-0/HumanEval_30.json,results/mtp5/concurrency-4/repeat-0/HumanEval_30.json,f48d967d6dc2e3f0613c94e7f5d82b59039774d10e87f2cd2995aab17c14a3af,36f6a0cc1c4d02ae2a3ebf6a115d6f342669e2179f4932843bda07838b43b2d5
HumanEval/31,humaneval_plus,0,True,True,True,stop,stop,193,193,0.8875540714882794,0.8875540714882794,results/mtp5/concurrency-1/repeat-0/HumanEval_31.json,results/mtp5/concurrency-4/repeat-0/HumanEval_31.json,10d909fc83adfa75296fb1de1a06029e49fa31c582ae72415442a668866fb7fc,66eba5ab68c872bbf7795a64c30a01bce09c3812b71db31f171e4dec0a07dca9
MATH-500/0,math_500,0,True,True,True,stop,stop,353,353,0.9103794927337535,0.9103794927337535,results/mtp5/concurrency-1/repeat-0/MATH-500_0.json,results/mtp5/concurrency-4/repeat-0/MATH-500_0.json,af131e2b6a7312c8700e70e9b66788d80f6917504d22d06a6149767cf0f3df35,6a36099c27a2fe6499862ed95b9ec87762165d09b0fd957df69e5b0f95381175
MATH-500/1,math_500,0,True,True,False,stop,stop,914,818,1.0283394599978022,0.9203300637617091,results/mtp5/concurrency-1/repeat-0/MATH-500_1.json,results/mtp5/concurrency-4/repeat-0/MATH-500_1.json,7af1dbf9e850df8519914e7c67883e7985334ccf78ae391d60a5627bbd398653,49a365d1e14f5a9ebecbe892ad7861cc0f6256951a79f51ab603572232ae5bf7
MATH-500/2,math_500,0,True,True,True,stop,stop,533,533,0.9126294913756121,0.9126294913756122,results/mtp5/concurrency-1/repeat-0/MATH-500_2.json,results/mtp5/concurrency-4/repeat-0/MATH-500_2.json,64681d417ecca5701fe0455a58c46c72f00ccecec093204f50f4f173c36fe5aa,6296e4ef13b294579b1a1a32c219cf627f17c65ee142d17d16578fb8b20418ad
MATH-500/3,math_500,0,True,True,True,stop,stop,805,805,0.92257797076877,0.9225779707687701,results/mtp5/concurrency-1/repeat-0/MATH-500_3.json,results/mtp5/concurrency-4/repeat-0/MATH-500_3.json,221a51d79b76bb7248ac16d3a69bcd250e9064a2575b10b32165d445678e5d52,6c8756f8b1875f7e8728a4e02b805df1800d242e09c34e7e39b93606988bb517
MATH-500/4,math_500,0,True,True,True,stop,stop,697,697,0.9229190549552808,0.9229190549552809,results/mtp5/concurrency-1/repeat-0/MATH-500_4.json,results/mtp5/concurrency-4/repeat-0/MATH-500_4.json,8e0ea75a08f3b22e10e936eb7b2f69b8ab8bc48d605ecb2890fd7bd1303839bd,a4cd4489c320f90fe7cb82add2b93fa1b8d12d7c06ba47cd1ae88887af685b26
MATH-500/5,math_500,0,True,True,True,stop,stop,351,351,0.925487495564355,0.925487495564355,results/mtp5/concurrency-1/repeat-0/MATH-500_5.json,results/mtp5/concurrency-4/repeat-0/MATH-500_5.json,5e61b773d94bdca3062e1c32554e986e7134d01b57d3c07953ff6db3eee39337,03bd0c5d98592e9baf3e689004390028adf221429db4ebd1dbd9288886a3e684
MATH-500/6,math_500,0,True,True,True,stop,stop,901,901,0.9209583368815351,0.9209583368815352,results/mtp5/concurrency-1/repeat-0/MATH-500_6.json,results/mtp5/concurrency-4/repeat-0/MATH-500_6.json,8fe1db495b7ff6d30ee6ed77189c152647a5255362ebfb5121c57f11742a2842,5a38e39e5aad2bfad914a2705cbe89b9ac8dff709b9698a8716b8824a3a5a461
MATH-500/7,math_500,0,True,True,True,stop,stop,1239,1239,0.9235339628666966,0.9235339628666965,results/mtp5/concurrency-1/repeat-0/MATH-500_7.json,results/mtp5/concurrency-4/repeat-0/MATH-500_7.json,ca260ff2b144347d9da02c28306b2d69c68006a97a2ac8d092371400029949ff,9d3391e784addccf33b5c795994766d570d1770d52cc08b98ebbac25ee8fd259
