task_id,dataset,repetition,reference_correct,candidate_correct,same_content,reference_finish,candidate_finish,reference_tokens,candidate_tokens,latency_ratio_reference_over_candidate,tps_ratio_candidate_over_reference,reference_record,candidate_record,reference_sha256,candidate_sha256
HumanEval/0,humaneval_plus,0,True,True,True,stop,stop,177,177,2.4973149980998715,2.4973149980998715,results/mtp5/primary/repeat-0/HumanEval_0.json,results/dflash15/primary/repeat-0/HumanEval_0.json,f82b5852d4a6f7726ecacdf3b8b607e9428b62a94a403c4f5aabf40edf56d093,e2f00c4d1c6e402a42a584038db4f72356ababfdf80ae49bd8305e4d05000855
HumanEval/1,humaneval_plus,0,True,True,True,stop,stop,230,230,1.8592043847715491,1.859204384771549,results/mtp5/primary/repeat-0/HumanEval_1.json,results/dflash15/primary/repeat-0/HumanEval_1.json,f886981b3b43a2bad61468f94d316f9da7286e1f3a411b19a7fdbb17513a8743,38c06392f87f2b2e612ac7f56b3bd507fc44fa780a22a7d3e94c558833f9fd6c
HumanEval/2,humaneval_plus,0,True,True,True,stop,stop,97,97,1.9669856844424916,1.9669856844424916,results/mtp5/primary/repeat-0/HumanEval_2.json,results/dflash15/primary/repeat-0/HumanEval_2.json,31c63a087b10f92a6fa680b22e7256663b6ec24283ed1dc2a125658df90833e3,3f09dcaea31f584ed5a8604c119dda1b61217f0811ed28fec80cb0c855f6758e
HumanEval/3,humaneval_plus,0,True,True,True,stop,stop,157,157,1.9258258466051312,1.9258258466051312,results/mtp5/primary/repeat-0/HumanEval_3.json,results/dflash15/primary/repeat-0/HumanEval_3.json,1e650e369c2d8e41891b2770eb2fc4c2d646b9a9bbfca09b9f8b39bff554c50d,3340cbade0ed9d35b025cce5b904c8615324ffe16d15e673014c8b3e3a7d48b9
HumanEval/4,humaneval_plus,0,True,True,True,stop,stop,172,172,1.909795007991627,1.909795007991627,results/mtp5/primary/repeat-0/HumanEval_4.json,results/dflash15/primary/repeat-0/HumanEval_4.json,f3712480632df926ceb8d68c08ecb6e4d86e4d0258eacc3bb41485474870070a,fb75b297698a6810c1ea95bbd4b6606a591997c150c15434ce8b216d9d509c59
HumanEval/5,humaneval_plus,0,True,True,True,stop,stop,154,154,1.6646512236291378,1.6646512236291378,results/mtp5/primary/repeat-0/HumanEval_5.json,results/dflash15/primary/repeat-0/HumanEval_5.json,8ad96e909a49fbbc6a260df0527258edb2625a96335c05686f55de9ced9e1aac,8e61a1e80364c2540dee668f25432f06ee76ddec926b476c74a3a2171b04be03
HumanEval/6,humaneval_plus,0,True,True,True,stop,stop,229,229,1.919222661405265,1.919222661405265,results/mtp5/primary/repeat-0/HumanEval_6.json,results/dflash15/primary/repeat-0/HumanEval_6.json,48a068a58f209f4fc8b30116c47ae28856c7a69cb421ca5505821b748efc7ac1,cc06d4cc53ea6ac1178e4a060998dbd7f2e5a81d7fa3084ef3499eb01496316a
HumanEval/7,humaneval_plus,0,True,True,True,stop,stop,112,112,1.88349457868773,1.88349457868773,results/mtp5/primary/repeat-0/HumanEval_7.json,results/dflash15/primary/repeat-0/HumanEval_7.json,16b45bb0cb82660aea9aba8b2b20451d8260f1c6de437a03cf1c8f7758998fa7,7a14ef52da610e749b1065cfff813d7f4d9c38c6baaa53e0b03e17f663ec15e8
HumanEval/8,humaneval_plus,0,True,True,True,stop,stop,163,163,2.0009325905939215,2.0009325905939215,results/mtp5/primary/repeat-0/HumanEval_8.json,results/dflash15/primary/repeat-0/HumanEval_8.json,d4fceefc1c8b9e591bcaa41e6b74d70a5bf08211519da74945b83be2703d3379,f24a5b9ee0973645e06d2a334948e3b52e5c5dcff3eb7b78ecae42c9ba9c2e02
HumanEval/9,humaneval_plus,0,True,True,True,stop,stop,162,162,2.1719986162848386,2.1719986162848386,results/mtp5/primary/repeat-0/HumanEval_9.json,results/dflash15/primary/repeat-0/HumanEval_9.json,d626d183d5657b0ff1a6c1f9394bbb6b9d3217e1d04f5cf8ddf1eea520623a11,68aa97e3a3a16d094368a2f194d0b4018ac67a38011aad7e80e531df3e5d6755
